,RNAPII_bound_fraction_constant_nuclear_fraction,RNAPII_bound_fraction_constant_nuclear_fraction_10pc,RNAPII_bound_fraction_constant_nuclear_fraction_90pc,RNAPII_bound_fraction_linear_nuclear_fraction,RNAPII_bound_fraction_linear_nuclear_fraction_10pc,RNAPII_bound_fraction_linear_nuclear_fraction_90pc,RNAPII_bound_fraction_exp_nuclear_fraction,RNAPII_bound_fraction_exp_nuclear_fraction_10pc,RNAPII_bound_fraction_exp_nuclear_fraction_90pc,diploid_constant_nuclear_fraction,diploid_constant_nuclear_fraction_10pc,diploid_constant_nuclear_fraction_90pc,diploid_constant_linear_fraction,diploid_constant_linear_fraction_10pc,diploid_constant_linear_fraction_90pc,diploid_constant_exp_fraction,diploid_constant_exp_fraction_10pc,diploid_constant_exp_fraction_90pc,haploid_constant_nuclear_fraction,haploid_linear_nuclear_fraction,haploid_exp_nuclear_fraction
19.505050505050505,0.838119441272525,0.6672133717545707,0.794043496810026,0.8381194233555549,0.420269471901329,0.6412135151830562,0.7707258346992009,0.5087063694780638,0.6845795842197016,0.9712471898572378,0.8063828700534902,1.1396421686126175,1.1010220561624953,0.8834125206847205,1.33563971235166,0.9687289422840805,0.8102572322227941,1.131849478410784,0.838119441272525,0.8381194233555549,0.7707258346992009
21.81818181818182,0.9079939748835221,0.6418812026816594,0.7751122055906496,0.9079939567550716,0.40431312357704313,0.6259264002372752,0.8450221655868866,0.4966248802653877,0.6740517962305531,1.0663418834707292,0.8890587381242403,1.2448538876596111,1.2058440427646462,0.9723107849913781,1.4549500889859512,1.0700001035060052,0.897369919936445,1.2469548768187018,0.9079939748835221,0.9079939567550716,0.8450221655868866
24.13131313131313,0.9736025869635321,0.6184022604267146,0.7570626850486997,0.9736025688161607,0.389524089529402,0.6113512992743596,0.916856881644654,0.4853748825377591,0.6640849279833057,1.1579840183554984,0.9694476785303223,1.3445647986188047,1.3063726261902535,1.0587136437835944,1.5681775773630122,1.1691075826265978,0.9830069989101925,1.3591220491054414,0.9736025869635321,0.9736025688161607,0.916856881644654
26.444444444444443,1.0353243648561603,0.5965803554494881,0.7398347259003205,1.0353243468498243,0.3757787940184416,0.5974395957016562,0.9859826361684967,0.4746056879535662,0.6543925537695767,1.246358267750339,1.0477461197037776,1.4369089193598925,1.4028662929807754,1.1453117329666922,1.674862160544964,1.2658178904113264,1.0670043075744449,1.4680425257653793,1.0353243648561603,1.0353243468498243,0.9859826361684967
28.757575757575758,1.0934947717632892,0.5762460469055826,0.7233734789578316,1.0934947540308253,0.3629705096856759,0.5841470008781058,1.052198925817619,0.46410794747569484,0.6447985138078807,1.331636365006073,1.1260031758001663,1.5272770109157312,1.4955631881485683,1.2295513568256096,1.7755815114487354,1.3599239158378906,1.1492121099366968,1.5734506216722353,1.0934947717632892,1.0934947540308253,1.052198925817619
31.070707070707073,1.148411746418316,0.5572522342076055,0.7076288715957151,1.1484117290699225,0.3510065807921357,0.5714330829576442,1.1153661514563036,0.45376659280404863,0.6352032277230413,1.4139782174319087,1.2028332337362755,1.616756201906608,1.5846830775340734,1.3085714754387074,1.8713619146448748,1.4512598060989605,1.2314299367265906,1.6751426507874638,1.148411746418316,1.1484117290699225,1.1153661514563036
33.38383838383838,1.200340807149267,0.5394705926314268,0.6925550988302758,1.2003407902761833,0.3398061780965802,0.5592608559757035,1.175408848670552,0.44352850706425717,0.6255595785238026,1.4935329070351169,1.2780170294186968,1.7026887579384997,1.6704290872916392,1.3853545641740606,1.962558017447263,1.539707065645658,1.3124743688156235,1.7729838135637936,1.200340807149267,1.2003407902761833,1.175408848670552
35.696969696969695,1.2495193449022337,0.5227886702614731,0.678110178113901,1.2495193285797777,0.32929847029292686,0.547596420379096,1.2323119760502208,0.4333799487122648,0.6158554439267775,1.570439591330811,1.351910231963935,1.7852815086848144,1.7529892494863228,1.4599911715904996,2.0491761219235927,1.6251948003089676,1.3918079448556755,1.8669069615648688,1.2495193449022337,1.2495193285797777,1.2323119760502208
38.01010101010101,1.296160251699965,0.5071075074127084,0.6642555587272764,1.2961602359900473,0.3194211245416565,0.5364086476386359,1.286113165478397,0.42333077216014203,0.6061010341097265,1.6448283156729582,1.4242350614763184,1.8638911554518485,1.8325378785552726,1.5325153801745308,2.13127754043637,1.7076962755547613,1.4693904769756065,1.9569063665451336,1.296160251699965,1.2961602359900473,1.286113165478397
40.323232323232325,1.3404550015381984,0.4923396720190611,0.6509557781139621,1.3404549864914135,0.31011906900750486,0.525668902763452,1.3368930657243576,0.41340353739748686,0.5963197946587595,1.7168207470822383,1.495040943241528,1.9386557876871224,1.9092367998402415,1.6033105101859821,2.20510068327616,1.7872233884824713,1.5442770725554655,2.04302880054583,1.3404550015381984,1.3404549864914135,1.3368930657243576
42.63636363636364,1.382576277757802,0.47840762859054986,0.6381781587044937,1.382576263415176,0.3013434655034556,0.515350799507031,1.384765270210101,0.4036261825756471,0.5865419852573344,1.786530838281367,1.5643752467137872,2.0105530534091467,1.9832364484125116,1.674348596790618,2.276442785911729,1.8638202024754866,1.6151185236991532,2.1253635729746536,1.382576277757802,1.382576263415176,1.384765270210101
44.94949494949495,1.42268022291557,0.46524237648175065,0.6258925397714749,1.4226802093100241,0.293050851767119,0.5054299838577925,1.4298667958028495,0.3940272877098871,0.5768002675200454,1.8540654295611336,1.6322833913367876,2.07690146088704,2.0546768538907787,1.745190619190985,2.3511610229148863,1.937556333755425,1.683893269749532,2.20374483702006,1.42268022291557,1.4226802093100241,1.4298667958028495
47.26262626262626,1.4609083729531671,0.45278230698200594,0.6140710396822715,1.460908360110746,0.2852024215674875,0.495883942073211,1.4723496693774474,0.38463319725471595,0.5671267892205937,1.9195247951634153,1.696514992807115,2.1333237647639542,2.1236885248175112,1.8144479067076411,2.4229028005441497,2.008520697378921,1.7506447475637417,2.2781524842439853,1.4609083729531671,1.460908360110746,1.4723496693774474
49.57575757575758,1.4973893261656446,0.4409722392735007,0.602687844603366,1.4973893141065522,0.27776341747618694,0.48669183007152855,1.5123738765142836,0.3754664462343297,0.5575513666741146,1.9830031400580215,1.759582910172012,2.196134572353416,2.1903932443453806,1.8827215743368857,2.4918425532749238,2.0768159068783256,1.8154271859689162,2.3491705559666394,1.4973893261656446,1.4973893141065522,1.5123738765142836
