cell_volume_fL,Rpb1_occupancy_haploid_fit,Rpb1_occupancy_haploid_fit_10pc,Rpb1_occupancy_haploid_fit_90pc,Rpb1_occupancy_diploid_prediction,Rpb1_occupancy_diploid_prediction_10pc,Rpb1_occupancy_diploid_prediction_90pc,Rpb1_bound_fraction_haploid_prediction,Rpb1_bound_fraction_haploid_prediction_10pc,Rpb1_bound_fraction_haploid_prediction_90pc,nuclear_volume
1.0,0.05807320928890956,0,0,0.06807803305699561,0.05290186012624381,0.0824523374190313,0.7060777663858202,0.622408884759299,0.7944629128285522,0.5880000000000001
3.313131313131313,0.18430614858872585,0,0,0.21988851318865724,0.17234800162903388,0.263306990331704,0.6763599509229217,0.5891539402307897,0.7707804210498532,0.67589898989899
5.626262626262626,0.30034232322185106,0,0,0.36426264774243816,0.28787579665473917,0.4312802486652745,0.6490426623935172,0.5592723526881629,0.7484689827604994,0.7637979797979798
7.9393939393939394,0.4073692717934128,0,0,0.5017337715847622,0.3996750165398883,0.5882306665554057,0.6238463299239663,0.5322756117798696,0.7274128855498715,0.8516969696969697
10.252525252525253,0.506397019488264,0,0,0.6327854093285956,0.5079233679232796,0.7357977685632906,0.6005331729300347,0.5077651882172375,0.7075090817199713,0.9395959595959597
12.565656565656566,0.5982900516286527,0,0,0.7578569576312019,0.6127874368970165,0.8741507152341845,0.5788996738875367,0.48541272820210973,0.6886655017434944,1.0274949494949495
14.878787878787879,0.683792616672761,0,0,0.877348606967673,0.7144235458235458,1.0061871973226104,0.5587706214890158,0.46494525852880053,0.6707996302433301,1.1153939393939394
17.19191919191919,0.763548927701135,0,0,0.9916256190431921,0.8129785321043138,1.1324395854827034,0.5399943548007047,0.44613398325141884,0.6538372980252568,1.2032929292929293
19.505050505050505,0.8381194233555549,0,0,1.1010220561624953,0.9085904570737467,1.2523060973547633,0.5224389351049664,0.4287856942791176,0.6377116528640208,1.2911919191919192
21.81818181818182,0.9079939567550716,0,0,1.2058440427646462,1.001389252228003,1.3662597508529306,0.5059890409597383,0.41273611101150703,0.6223622789252885,1.3790909090909091
24.13131313131313,0.9736025688161607,0,0,1.3063726261902535,1.0916749155791456,1.4747279261492763,0.4905434319386451,0.3978446618136949,0.6077344403689472,1.466989898989899
26.444444444444443,1.0353243468498243,0,0,1.4028662929807754,1.179548022320563,1.5780977456977094,0.47601286313607694,0.3839903558596443,0.5937784291718443,1.5548888888888888
28.757575757575758,1.0934947540308253,0,0,1.4955631881485683,1.2649923383843091,1.6767207099211352,0.46231835966023827,0.37106848849382135,0.5804490007929595,1.642787878787879
31.070707070707073,1.1484117290699225,0,0,1.5846830775340734,1.3481073515887516,1.7709167061258653,0.44938978064556206,0.35898799015772737,0.5677048841805552,1.7306868686868688
33.38383838383838,1.2003407902761833,0,0,1.6704290872916392,1.4289871816906852,1.8609774874312834,0.4371646176520592,0.3476692768413822,0.5555083549411941,1.8185858585858585
35.696969696969695,1.2495193285797777,0,0,1.7529892494863228,1.507720938062027,1.9471697017725202,0.4255869839999571,0.33704249475257975,0.5438248623716355,1.9064848484848484
38.01010101010101,1.2961602359900473,0,0,1.8325378785552726,1.5843930491139566,2.0271607425437175,0.41460676055646706,0.32704607735809166,0.5326227025870223,1.9943838383838384
40.323232323232325,1.3404549864914135,0,0,1.9092367998402415,1.6587148231065556,2.103156172938368,0.4041788704298788,0.3176255518115973,0.5218727312327883,2.0822828282828283
42.63636363636364,1.382576263415176,0,0,1.9832364484125116,1.7279912537940971,2.175877132241639,0.3942626604325105,0.3087325458910886,0.5115481102984738,2.1701818181818187
44.94949494949495,1.4226802093100241,0,0,2.0546768538907787,1.7956836861152443,2.245530909124053,0.3848213714151764,0.30032395721826044,0.5016240844024079,2.258080808080808
47.26262626262626,1.460908360110746,0,0,2.1236885248175112,1.866543135533549,2.312307648674945,0.3758216829243188,0.29236125464086266,0.49207778262127855,2.345979797979798
49.57575757575758,1.4973893141065522,0,0,2.1903932443453806,1.9341982560180604,2.376382089600629,0.36723332029273215,0.28480988788255396,0.48288804252516637,2.433878787878788
51.888888888888886,1.5322401771841614,0,0,2.2549047874398647,1.9969951760729727,2.439808330951016,0.35902871439978634,0.27763878637803957,0.47403525356838605,2.5217777777777775
54.2020202020202,1.5655678185697814,0,0,2.317329568483547,2.0586868141677197,2.5044653019661824,0.3511827060440818,0.2708199319605985,0.4655012173969062,2.609676767676768
56.515151515151516,1.5974699654387798,0,0,2.377767227036271,2.1214637660862583,2.5682115048420315,0.3436722882499478,0.264327993009525,0.4572690229782047,2.6975757575757573
